Date, Value
1985-01-01, 0.13002200424671173
1985-02-01, 0.12946400046348572
1985-03-01, 0.11049100011587143
1985-04-01, 0.09877199679613113
1985-05-01, 0.09486600011587143
1985-06-01, 0.07589299976825714
1985-07-01, 0.08091499656438828
1985-08-01, 0.07087100297212601
1985-09-01, 0.06696400046348572
1985-10-01, 0.0703129991889
1985-11-01, 0.08314699679613113
1985-12-01, 0.0898440033197403
1986-01-01, 0.09821400046348572
1986-02-01, 0.10323700308799744
1986-03-01, 0.11160700023174286
1986-04-01, 0.12611599266529083
1986-05-01, 0.13504500687122345
1986-06-01, 0.16517899930477142
1986-07-01, 0.1601559966802597
1986-08-01, 0.13895100355148315
1986-09-01, 0.16573700308799744
1986-10-01, 0.1489959955215454
1986-11-01, 0.15513400733470917
1986-12-01, 0.17857100069522858
1987-01-01, 0.1802459955215454
1987-02-01, 0.24776799976825714
1987-03-01, 0.313616007566452
1987-04-01, 0.28125
1987-05-01, 0.3549109995365143
1987-06-01, 0.3549109995365143
1987-07-01, 0.3638390004634857
1987-08-01, 0.3660709857940674
1987-09-01, 0.4888390004634857
1987-10-01, 0.5066959857940674
1987-11-01, 0.34598198533058167
1987-12-01, 0.29910698533058167
1988-01-01, 0.3816959857940674
1988-02-01, 0.37276801466941833
1988-03-01, 0.3861609995365143
1988-04-01, 0.3549109995365143
1988-05-01, 0.3638390004634857
1988-06-01, 0.3705359995365143
1988-07-01, 0.4151790142059326
1988-08-01, 0.3973209857940674
1988-09-01, 0.3549109995365143
1988-10-01, 0.3839290142059326
1988-11-01, 0.34375
1988-12-01, 0.3370540142059326
1989-01-01, 0.359375
1989-02-01, 0.3370540142059326
1989-03-01, 0.3236609995365143
1989-04-01, 0.3169640004634857
1989-05-01, 0.34375
1989-06-01, 0.4263390004634857
1989-07-01, 0.37276801466941833
1989-08-01, 0.3549109995365143
1989-09-01, 0.3973209857940674
1989-10-01, 0.3973209857940674
1989-11-01, 0.4129459857940674
1989-12-01, 0.3973209857940674
1990-01-01, 0.31473198533058167
1990-02-01, 0.3080359995365143
1990-03-01, 0.29910698533058167
1990-04-01, 0.35714301466941833
1990-05-01, 0.3549109995365143
1990-06-01, 0.36941999197006226
1990-07-01, 0.3973209857940674
1990-08-01, 0.375
1990-09-01, 0.32589301466941833
1990-10-01, 0.26339301466941833
1990-11-01, 0.2723209857940674
1990-12-01, 0.3325890004634857
1991-01-01, 0.3816959857940674
1991-02-01, 0.4955359995365143
1991-03-01, 0.5089290142059326
1991-04-01, 0.607142984867096
1991-05-01, 0.4285709857940674
1991-06-01, 0.41964301466941833
1991-07-01, 0.37723198533058167
1991-08-01, 0.4107140004634857
1991-09-01, 0.47098198533058167
1991-10-01, 0.43973198533058167
1991-11-01, 0.4575890004634857
1991-12-01, 0.453125
1992-01-01, 0.49776801466941833
1992-02-01, 0.578125
1992-03-01, 0.6049110293388367
1992-04-01, 0.5111610293388367
1992-05-01, 0.5357139706611633
1992-06-01, 0.5111610293388367
1992-07-01, 0.4285709857940674
1992-08-01, 0.4174109995365143
1992-09-01, 0.4129459857940674
1992-10-01, 0.3995540142059326
1992-11-01, 0.46875
1992-12-01, 0.5111610293388367
1993-01-01, 0.53125
1993-02-01, 0.529017984867096
1993-03-01, 0.4732140004634857
1993-04-01, 0.4575890004634857
1993-05-01, 0.4575890004634857
1993-06-01, 0.5044639706611633
1993-07-01, 0.3482140004634857
1993-08-01, 0.25223198533058167
1993-09-01, 0.23660700023174286
1993-10-01, 0.203125
1993-11-01, 0.2745540142059326
1993-12-01, 0.2857140004634857
1994-01-01, 0.26339301466941833
1994-02-01, 0.29464301466941833
1994-03-01, 0.328125
1994-04-01, 0.2879459857940674
1994-05-01, 0.26785698533058167
1994-06-01, 0.2544640004634857
1994-07-01, 0.23549099266529083
1994-08-01, 0.3002229928970337
1994-09-01, 0.3158479928970337
1994-10-01, 0.3002229928970337
1994-11-01, 0.3828130066394806
1994-12-01, 0.33035698533058167
1995-01-01, 0.3470979928970337
1995-02-01, 0.3638390004634857
1995-03-01, 0.3549109995365143
1995-04-01, 0.3169640004634857
1995-05-01, 0.34151801466941833
1995-06-01, 0.373883992433548
1995-07-01, 0.4151790142059326
1995-08-01, 0.40066999197006226
1995-09-01, 0.3839290142059326
1995-10-01, 0.3370540142059326
1995-11-01, 0.327008992433548
1995-12-01, 0.3392859995365143
1996-01-01, 0.2879459857940674
1996-02-01, 0.24553599953651428
1996-03-01, 0.2466520071029663
1996-04-01, 0.22432999312877655
1996-05-01, 0.21763400733470917
1996-06-01, 0.2310270071029663
1996-07-01, 0.18861599266529083
1996-08-01, 0.19642899930477142
1996-09-01, 0.2154020071029663
1996-10-01, 0.19642899930477142
1996-11-01, 0.20870499312877655
1996-12-01, 0.2154020071029663
1997-01-01, 0.18861599266529083
1997-02-01, 0.15067000687122345
1997-03-01, 0.14732100069522858
1997-04-01, 0.15736599266529083
1997-05-01, 0.15067000687122345
1997-06-01, 0.15178599953651428
1997-07-01, 0.12444200366735458
1997-08-01, 0.15736599266529083
1997-09-01, 0.19642899930477142
1997-10-01, 0.19363799691200256
1997-11-01, 0.156808003783226
1997-12-01, 0.15792399644851685
1998-01-01, 0.12165199965238571
1998-02-01, 0.16517899930477142
1998-03-01, 0.2103790044784546
1998-04-01, 0.24497799575328827
1998-05-01, 0.24553599953651428
1998-06-01, 0.23660700023174286
1998-07-01, 0.2578130066394806
1998-08-01, 0.3058040142059326
1998-09-01, 0.280133992433548
1998-10-01, 0.328125
1998-11-01, 0.3348209857940674
