Date, Value
1985-01-02, 0.13002200424671173
1985-01-03, 0.12667399644851685
1985-01-04, 0.12667399644851685
1985-01-07, 0.12667399644851685
1985-01-08, 0.12611599266529083
1985-01-09, 0.1283479928970337
1985-01-10, 0.13392899930477142
1985-01-11, 0.13392899930477142
1985-01-14, 0.1367190033197403
1985-01-15, 0.1367190033197403
1985-01-16, 0.13504500687122345
1985-01-17, 0.13504500687122345
1985-01-18, 0.125558003783226
1985-01-21, 0.13057999312877655
1985-01-22, 0.13448700308799744
1985-01-23, 0.13448700308799744
1985-01-24, 0.1322540044784546
1985-01-25, 0.12946400046348572
1985-01-28, 0.13504500687122345
1985-01-29, 0.13504500687122345
1985-01-30, 0.1333709955215454
1985-02-01, 0.12946400046348572
1985-02-04, 0.13057999312877655
1985-02-05, 0.13169600069522858
1985-02-06, 0.13392899930477142
1985-02-07, 0.13392899930477142
1985-02-08, 0.1333709955215454
1985-02-11, 0.13616099953651428
1985-02-12, 0.13616099953651428
1985-02-13, 0.1328130066394806
1985-02-14, 0.12667399644851685
1985-02-15, 0.12332600355148315
1985-02-19, 0.12444200366735458
1985-02-20, 0.12332600355148315
1985-02-21, 0.11997800320386887
1985-02-22, 0.11997800320386887
1985-02-25, 0.12332600355148315
1985-02-26, 0.12165199965238571
1985-02-27, 0.11941999942064285
1985-03-01, 0.11049100011587143
1985-03-04, 0.11272300034761429
1985-03-05, 0.11551299691200256
1985-03-06, 0.11551299691200256
1985-03-07, 0.10993299633264542
1985-03-08, 0.09877199679613113
1985-03-11, 0.09933000057935715
1985-03-12, 0.10267899930477142
1985-03-13, 0.10267899930477142
1985-03-14, 0.09709800034761429
1985-03-15, 0.09709800034761429
1985-03-18, 0.10212100297212601
1985-03-19, 0.10212100297212601
1985-03-20, 0.09933000057935715
1985-03-21, 0.10100399702787399
1985-03-22, 0.10100399702787399
1985-03-25, 0.09933000057935715
1985-03-26, 0.10044600069522858
1985-03-27, 0.10044600069522858
1985-03-28, 0.0976559966802597
1985-03-29, 0.0976559966802597
1985-04-01, 0.09877199679613113
1985-04-02, 0.09653999656438828
1985-04-03, 0.09375
1985-04-04, 0.09375
1985-04-08, 0.09319200366735458
1985-04-09, 0.08761200308799744
1985-04-10, 0.09375
1985-04-11, 0.09542399644851685
1985-04-12, 0.09542399644851685
1985-04-15, 0.09542399644851685
1985-04-16, 0.09653999656438828
1985-04-17, 0.10100399702787399
1985-04-18, 0.10212100297212601
1985-04-19, 0.10212100297212601
1985-04-22, 0.10044600069522858
1985-04-23, 0.09877199679613113
1985-04-24, 0.09877199679613113
1985-04-25, 0.09821400046348572
1985-04-26, 0.09821400046348572
1985-04-29, 0.0976559966802597
1985-05-01, 0.09486600011587143
1985-05-02, 0.09207600355148315
1985-05-03, 0.0859379991889
1985-05-06, 0.08928599953651428
1985-05-07, 0.08928599953651428
1985-05-08, 0.08872800320386887
1985-05-09, 0.08928599953651428
1985-05-10, 0.08928599953651428
1985-05-13, 0.09040199965238571
1985-05-14, 0.08928599953651428
1985-05-15, 0.08928599953651428
1985-05-16, 0.09542399644851685
1985-05-17, 0.09542399644851685
1985-05-20, 0.09709800034761429
1985-05-21, 0.09486600011587143
1985-05-22, 0.09263399988412857
1985-05-23, 0.09151799976825714
1985-05-24, 0.08816999942064285
1985-05-28, 0.07979899644851685
1985-05-29, 0.07645100355148315
1985-05-30, 0.07868299633264542
1985-06-03, 0.07589299976825714
1985-06-04, 0.07700899988412857
1985-06-05, 0.07700899988412857
1985-06-06, 0.07589299976825714
1985-06-07, 0.07589299976825714
1985-06-10, 0.07310300320386887
1985-06-11, 0.07198700308799744
1985-06-12, 0.07198700308799744
1985-06-13, 0.0703129991889
1985-06-14, 0.0664059966802597
1985-06-17, 0.0664059966802597
1985-06-18, 0.06808000057935715
1985-06-19, 0.06975399702787399
1985-06-20, 0.0703129991889
1985-06-21, 0.07198700308799744
1985-06-24, 0.07700899988412857
1985-06-25, 0.078125
1985-06-26, 0.08091499656438828
1985-06-27, 0.0820309966802597
1985-06-28, 0.0820309966802597
1985-07-01, 0.08091499656438828
1985-07-02, 0.08091499656438828
1985-07-03, 0.078125
1985-07-05, 0.07868299633264542
1985-07-08, 0.07868299633264542
1985-07-09, 0.07868299633264542
1985-07-10, 0.08035700023174286
1985-07-11, 0.08035700023174286
1985-07-12, 0.08035700023174286
1985-07-15, 0.07979899644851685
1985-07-16, 0.07924100011587143
1985-07-17, 0.07868299633264542
1985-07-18, 0.07868299633264542
1985-07-19, 0.07756700366735458
1985-07-22, 0.07756700366735458
1985-07-23, 0.07533500343561172
1985-07-24, 0.07366099953651428
1985-07-25, 0.0742190033197403
1985-07-26, 0.0742190033197403
1985-07-29, 0.0742190033197403
1985-07-30, 0.07254499942064285
1985-08-01, 0.07087100297212601
1985-08-02, 0.07087100297212601
1985-08-05, 0.0703129991889
1985-08-06, 0.06863799691200256
1985-08-07, 0.06808000057935715
1985-08-08, 0.06752199679613113
1985-08-09, 0.06808000057935715
1985-08-12, 0.06808000057935715
1985-08-13, 0.06808000057935715
1985-08-14, 0.06808000057935715
1985-08-15, 0.06528999656438828
1985-08-16, 0.06528999656438828
1985-08-19, 0.06696400046348572
1985-08-20, 0.06808000057935715
1985-08-21, 0.06808000057935715
1985-08-22, 0.06808000057935715
1985-08-23, 0.0664059966802597
1985-08-26, 0.06752199679613113
1985-08-27, 0.06808000057935715
1985-08-28, 0.06808000057935715
1985-08-29, 0.06808000057935715
1985-08-30, 0.06696400046348572
1985-09-03, 0.06696400046348572
